PLAYER;rookie
Eric Paschall;rookie
Ja Morant;rookie
Kendrick Nunn;rookie
RJ Barrett;rookie
Tyler Herro;rookie
Coby White;rookie
P.J. Washington;rookie
Rui Hachimura;rookie
De'Andre Hunter;rookie
Brandon Clarke;rookie
Darius Garland;rookie
Jordan Poole;rookie
Ky Bowman;rookie
Jarrett Culver;rookie
Cameron Johnson;rookie
Jaxson Hayes;rookie
Terence Davis;rookie
Cam Reddish;rookie
Kevin Porter Jr.;rookie
Nicolo Melli;rookie
Marko Guduric;rookie
Nickeil Alexander-Walker;rookie
Bruno Fernando;rookie
Darius Bazley;rookie
Chris Silva;rookie
Matisse Thybulle;rookie
Goga Bitadze;rookie
Carsen Edwards;rookie
Chris Clemons;rookie
Nassir Little;rookie
Matt Thomas;rookie
Cody Martin;rookie
Daniel Gafford;rookie
Grant Williams;rookie
Justin James;rookie
Terance Mann;rookie
Javonte Green;rookie
Michael Porter Jr.;rookie
Kelan Martin;rookie
Nicolas Claxton;rookie
Admiral Schofield;rookie
Wenyen Gabriel;rookie
Mfiondu Kabengele;rookie
Tyler Cook;rookie
Jordan McLaughlin;rookie
Ignas Brazdeikis;rookie
Moses Brown;rookie
Charles Brown Jr.;rookie
Tremont Waters;rookie
Vincent Poirier;rookie
Caleb Martin;rookie
Devon Hall;rookie
Justin Robinson;rookie
Max Strus;rookie
Dewan Hernandez;rookie
Jordan Bone;rookie
Sekou Doumbouya;rookie
Shamorie Ponds;rookie
Tacko Fall;rookie
Dean Wade;rookie
Jaylen Nowell;rookie
Norvel Pelle;rookie
Oshae Brissett;rookie
Brian Bowen II;rookie
DaQuan Jeffries;rookie
Jalen McDaniels;rookie
Jaylen Hoard;rookie
Nigel Williams-Goss;rookie
Zylan Cheatham;rookie
Garrison Mathews;rookie
Jared Harper;rookie
Jarrell Brantley;rookie
John Konchar;rookie
Juwan Morgan;rookie
KZ Okpala;rookie
Keldon Johnson;rookie
Miye Oni;rookie
Romeo Langford;rookie
Stanton Kidd;rookie
Vlatko Cancar;rookie
Zach Norvell Jr.;rookie
