PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Nikola Jokic;C;DEN;24;50;34;16;1610;1012;391;763;51.2;63;193;32.6;167;208;80.3;116;385;501;336;146;56;29;157;2226.2;31;10;197
Montrezl Harrell;C;LAC;26;48;34;14;1377;924;377;663;56.9;0;15;0;170;270;63;134;209;343;86;90;33;56;110;1641.6;8;0;190
Karl-Anthony Towns;C;MIN;24;31;9;22;1040;838;288;564;51.1;103;254;40.6;159;197;80.7;82;252;334;130;95;28;37;104;1533.8;20;0;-22
Domantas Sabonis;C;IND;23;46;29;17;1583;835;334;621;53.8;11;47;23.4;156;216;72.2;152;431;583;208;126;35;25;155;1900.6;37;2;180
Jaren Jackson Jr.;C;MEM;20;47;24;23;1318;830;302;630;47.9;124;306;40.5;102;137;74.5;47;172;219;65;82;32;76;192;1432.3;2;0;-71
LaMarcus Aldridge;C;SAS;34;44;20;24;1453;830;324;638;50.8;51;120;42.5;131;156;84;88;241;329;103;60;26;75;107;1622.3;12;0;-113
Andre Drummond;C;DET;26;47;16;31;1580;814;334;638;52.4;1;21;4.8;145;247;58.7;214;524;738;130;169;94;82;174;2253.6;40;0;-117
Joel Embiid;C;PHI;25;34;22;12;1047;781;256;542;47.2;42;131;32.1;227;276;82.2;87;324;411;107;104;25;46;117;1543.7;26;0;116
Bam Adebayo;C;MIA;22;48;33;15;1659;754;290;499;58.1;1;11;9.1;173;251;68.9;122;380;502;227;133;58;57;118;1908.9;27;3;202
Hassan Whiteside;C;POR;30;46;23;23;1414;734;303;496;61.1;2;4;50;126;173;72.8;186;462;648;54;88;18;144;135;1990.6;37;0;93
Rudy Gobert;C;UTA;27;47;31;16;1614;733;279;406;68.7;0;0;0;175;285;61.4;173;507;680;75;93;34;95;147;1955.5;37;0;324
Nikola Vucevic;C;ORL;29;38;16;22;1204;711;282;631;44.7;64;181;35.4;83;102;81.4;101;316;417;132;52;35;33;89;1561.4;24;0;3
Jonas Valanciunas;C;MEM;27;46;22;24;1184;690;290;493;58.8;27;69;39.1;83;113;73.5;129;336;465;91;88;21;49;127;1506.5;23;0;-17
Serge Ibaka;C;TOR;30;40;28;12;1056;618;251;484;51.9;44;111;39.6;72;97;74.2;84;236;320;52;76;22;34;107;1172;14;0;60
Tristan Thompson;C;CLE;28;48;13;35;1486;571;240;472;50.8;3;9;33.3;88;138;63.8;199;300;499;100;94;31;44;110;1450.8;22;0;-369
Jarrett Allen;C;BKN;21;48;21;27;1309;548;213;327;65.1;0;4;0;122;193;63.2;147;318;465;67;56;32;71;118;1459.5;22;0;26
Clint Capela;C;HOU;25;39;22;17;1279;543;244;388;62.9;0;0;0;55;104;52.9;168;369;537;48;63;33;72;102;1511.4;27;0;60
Cody Zeller;C;CHA;27;46;14;32;1071;517;203;389;52.2;17;67;25.4;94;137;68.6;130;197;327;67;60;30;21;116;1102.9;9;0;-189
Richaun Holmes;C;SAC;26;37;14;23;1087;484;204;309;66;0;0;0;76;93;81.7;113;201;314;37;46;39;52;144;1143.3;13;0;7
Brook Lopez;C;MIL;31;47;40;7;1244;481;177;426;41.5;64;223;28.7;63;73;86.3;30;184;214;75;42;32;124;104;1276.3;3;0;375
