PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Aaron Gordon;PF;ORL;24;13;6;7;414;181;66;156;42.3;15;52;28.8;34;47;72.3;23;62;85;40;19;9;7;33;372;2;0;1
Aaron Holiday;PG;IND;23;12;8;4;280;117;44;113;38.9;20;47;42.6;9;10;90;7;28;35;47;16;12;1;24;252.5;1;0;34
Abdel Nader;SF;OKC;26;8;3;5;103;34;11;30;36.7;5;16;31.3;7;9;77.8;3;12;15;3;11;2;3;9;60.5;0;0;-28
Admiral Schofield;SF;WAS;22;5;2;3;51;22;7;10;70;4;7;57.1;4;4;100;2;6;8;1;0;0;0;3;33.1;0;0;8
Al Horford;PF;PHI;33;12;7;5;381;180;72;162;44.4;18;57;31.6;18;29;62.1;24;61;85;50;15;14;12;36;420;1;0;51
Alec Burks;SG;GSW;28;12;2;10;322;178;55;126;43.7;16;43;37.2;52;58;89.7;6;45;51;28;15;6;6;26;302.2;0;0;-34
Alex Caruso;SG;LAL;25;13;12;1;263;71;29;69;42;9;29;31;4;6;66.7;1;24;25;27;15;15;5;18;186.5;0;0;53
Alex Len;C;ATL;26;13;4;9;237;82;29;69;42;4;24;16.7;20;32;62.5;19;45;64;11;13;3;15;28;216.3;1;0;-93
Al-Farouq Aminu;PF;ORL;29;13;6;7;279;64;20;62;32.3;7;25;28;17;23;73.9;18;52;70;13;12;12;6;23;209.5;1;0;4
Alfonzo McKinnie;SF;CLE;27;7;2;5;68;24;7;14;50;5;8;62.5;5;7;71.4;3;13;16;1;4;1;0;8;43.7;0;0;-7
Alize Johnson;PF;IND;23;5;4;1;32;13;5;9;55.6;0;0;0;3;4;75;6;6;12;2;1;0;0;4;29.4;0;0;6
Allen Crabbe;SG;ATL;27;3;0;3;45;18;7;14;50;3;8;37.5;1;2;50;1;6;7;0;0;2;2;1;38.4;0;0;-40
Allonzo Trier;SG;NYK;23;8;1;7;117;57;16;34;47.1;9;20;45;16;21;76.2;1;11;12;12;14;2;3;19;90.4;0;0;-51
Amile Jefferson;PF;ORL;26;2;1;1;9;6;3;3;100;0;0;0;0;0;0;2;1;3;2;1;0;0;0;11.6;0;0;2
Andre Drummond;C;DET;26;13;4;9;452;255;106;192;55.2;0;8;0;43;62;69.4;60;161;221;39;52;21;26;54;667.7;12;0;-2
Andrew Wiggins;SF;MIN;24;11;7;4;382;285;110;230;47.8;26;72;36.1;39;53;73.6;14;42;56;40;17;8;12;23;455.2;0;0;15
Anfernee Simons;SG;POR;20;15;5;10;334;171;62;141;44;26;69;37.7;21;28;75;3;24;27;22;15;8;2;28;251.4;0;0;-68
Ante Zizic;C;CLE;22;2;0;2;37;11;5;10;50;0;0;0;1;2;50;2;6;8;0;0;0;1;4;23.6;0;0;1
Anthony Davis;PF;LAL;26;13;11;2;454;328;116;241;48.1;11;37;29.7;85;98;86.7;31;86;117;44;39;18;40;32;669.4;4;0;76
Anthony Tolliver;PF;POR;34;12;4;8;197;37;10;41;24.4;8;33;24.2;9;11;81.8;8;31;39;8;9;3;4;11;107.8;0;0;-57
Aron Baynes;C;PHX;32;12;7;5;288;174;64;114;56.1;23;52;44.2;23;32;71.9;18;49;67;37;13;4;9;47;335.9;1;0;46
Austin Rivers;SG;HOU;27;14;11;3;322;110;42;100;42;17;55;30.9;9;15;60;10;28;38;18;8;5;2;22;195.6;0;0;12
Avery Bradley;SG;LAL;28;10;8;2;274;96;41;84;48.8;8;28;28.6;6;8;75;7;25;32;18;11;10;1;26;183.4;0;0;55
Bam Adebayo;C;MIA;22;12;9;3;388;167;60;102;58.8;1;6;16.7;46;74;62.2;27;99;126;55;30;18;18;33;478.7;7;0;47
Ben McLemore;SG;HOU;26;14;11;3;273;102;32;91;35.2;23;76;30.3;15;19;78.9;6;18;24;12;9;8;1;24;166.8;0;0;74
Ben Simmons;PG;PHI;23;11;7;4;365;151;66;116;56.9;0;0;0;19;34;55.9;16;50;66;78;40;25;7;38;403.2;4;0;23
Bismack Biyombo;C;CHA;27;12;4;8;162;81;31;49;63.3;0;0;0;19;40;47.5;12;15;27;8;8;4;7;21;150.4;0;0;-33
Blake Griffin;PF;DET;30;2;0;2;54;38;12;31;38.7;2;11;18.2;12;14;85.7;1;9;10;12;8;1;1;2;66;0;0;4
Boban Marjanovic;C;DAL;31;5;3;2;59;35;15;29;51.7;0;0;0;5;6;83.3;10;15;25;4;6;1;1;9;71;0;0;35
Bobby Portis;C;NYK;24;14;4;10;324;132;53;135;39.3;14;37;37.8;12;16;75;30;69;99;18;12;11;5;25;313.8;3;0;-42
Bogdan Bogdanovic;SG;SAC;27;13;6;7;360;194;66;153;43.1;39;89;43.8;23;30;76.7;2;34;36;62;25;20;1;29;368.2;2;0;-38
Bojan Bogdanovic;SF;UTA;30;12;8;4;386;236;82;182;45.1;34;78;43.6;38;42;90.5;4;45;49;21;30;9;4;30;335.3;0;0;66
Brad Wanamaker;PG;BOS;30;13;11;2;199;79;26;50;52;4;11;36.4;23;25;92;2;21;23;33;14;12;2;18;184.1;0;0;13
Bradley Beal;SG;WAS;26;11;3;8;401;331;116;253;45.8;32;96;33.3;67;82;81.7;12;40;52;76;40;13;3;29;515.4;2;0;-22
Brandon Clarke;PF;MEM;23;13;5;8;288;165;70;113;61.9;8;18;44.4;17;20;85;20;59;79;15;15;8;15;24;336.3;1;0;-47
Brandon Ingram;PF;NOP;22;10;3;7;324;254;95;182;52.2;24;54;44.4;40;54;74.1;10;63;73;40;31;9;9;27;424.6;2;0;-50
Brandon Knight;PG;CLE;27;5;0;5;70;32;11;30;36.7;9;24;37.5;1;2;50;1;6;7;11;5;2;0;8;57.9;0;0;-20
Brian Bowen II;SG;IND;21;3;2;1;10;2;1;4;25;0;1;0;0;0;0;0;1;1;0;0;0;1;0;6.2;0;0;3
Brook Lopez;C;MIL;31;13;10;3;352;150;51;123;41.5;19;68;27.9;29;32;90.6;10;57;67;18;16;9;32;34;364.4;2;0;103
Bruce Brown;SG;DET;23;13;4;9;350;92;35;90;38.9;6;19;31.6;16;27;59.3;12;39;51;46;27;12;5;43;246.2;0;0;-38
Bruno Caboclo;SF;MEM;24;9;1;8;85;31;14;32;43.8;3;13;23.1;0;0;0;6;12;18;5;4;4;8;12;92.1;0;0;-11
Bruno Fernando;C;ATL;21;13;4;9;158;59;25;45;55.6;2;10;20;7;13;53.8;13;23;36;11;13;3;5;19;129.7;0;0;9
Bryn Forbes;SG;SAS;26;14;5;9;386;199;68;163;41.7;38;97;39.2;25;27;92.6;5;32;37;17;10;7;0;24;279.9;0;0;-95
Buddy Hield;SG;SAC;26;13;6;7;414;251;91;218;41.7;48;123;39;21;24;87.5;12;50;62;24;37;12;6;35;378.4;0;0;-26
Caleb Martin;SF;CHA;24;3;0;3;25;5;2;9;22.2;0;3;0;1;3;33.3;0;4;4;3;3;1;2;2;20.3;0;0;-9
Caleb Swanigan;PF;SAC;22;4;1;3;11;3;1;2;50;0;0;0;1;2;50;1;3;4;0;3;1;2;3;13.8;0;0;4
Cam Reddish;SF;ATL;20;13;4;9;315;89;30;111;27;9;48;18.8;20;24;83.3;9;41;50;23;25;14;5;25;215.5;0;0;-137
Cameron Johnson;SF;PHX;23;11;6;5;199;100;34;77;44.2;21;52;40.4;11;12;91.7;10;25;35;9;8;4;4;20;171.5;0;0;-46
Caris LeVert;SG;BKN;25;9;4;5;284;151;59;140;42.1;13;36;36.1;20;31;64.5;10;35;45;36;31;6;1;20;249;0;0;7
Carmelo Anthony;PF;POR;35;1;0;1;24;10;4;14;28.6;2;3;66.7;0;0;0;0;4;4;0;5;0;1;5;12.8;0;0;-20
Carsen Edwards;PG;BOS;21;12;10;2;145;57;19;56;33.9;10;31;32.3;9;11;81.8;3;18;21;13;4;4;2;13;115.7;0;0;-21
Cedi Osman;SF;CLE;24;13;4;9;390;110;42;103;40.8;20;54;37;6;12;50;6;41;47;26;16;12;2;34;231.4;0;0;-7
Chandler Hutchison;SF;CHI;23;7;2;5;144;58;18;42;42.9;4;11;36.4;18;26;69.2;1;29;30;8;10;4;2;12;114;0;0;-24
Chandler Parsons;SF;ATL;31;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10
Charles Brown Jr.;SG;ATL;22;4;0;4;16;7;1;3;33.3;1;1;100;4;4;100;2;1;3;0;0;0;1;0;13.6;0;0;10
Cheick Diallo;C;PHX;23;8;4;4;35;17;7;10;70;0;0;0;3;4;75;1;9;10;1;2;0;2;5;34.5;0;0;3
Chimezie Metu;PF;SAS;22;4;2;2;18;13;6;11;54.5;0;0;0;1;2;50;7;3;10;2;0;0;2;0;34;0;0;-6
Chris Boucher;PF;TOR;26;11;8;3;127;53;20;47;42.6;5;16;31.3;8;13;61.5;20;22;42;4;4;5;12;16;156.4;1;0;3
Chris Chiozza;PG;WAS;23;2;1;1;35;6;2;9;22.2;2;4;50;0;0;0;0;4;4;7;3;2;2;6;30.3;0;0;2
Chris Clemons;PG;HOU;22;8;7;1;85;47;16;35;45.7;13;30;43.3;2;2;100;2;3;5;3;4;2;2;8;65.5;0;0;2
Chris Paul;PG;OKC;34;14;5;9;426;221;67;150;44.7;23;56;41.1;64;73;87.7;3;54;57;79;31;28;0;33;460.9;0;0;31
Chris Silva;PF;MIA;23;12;9;3;100;45;17;25;68;0;1;0;11;12;91.7;21;20;41;7;15;3;10;28;128.7;0;0;17
Christian Wood;PF;DET;24;11;4;7;165;91;32;53;60.4;10;18;55.6;17;27;63;9;31;40;3;10;3;9;8;169.5;1;0;3
CJ McCollum;SG;POR;28;15;5;10;561;320;130;307;42.3;35;97;36.1;25;33;75.8;15;53;68;52;33;14;8;44;512.6;0;0;10
CJ Miles;SG;WAS;32;6;2;4;104;56;17;44;38.6;11;27;40.7;11;13;84.6;3;7;10;7;3;5;3;11;99.5;0;0;9
Clint Capela;C;HOU;25;12;9;3;367;169;77;120;64.2;0;0;0;15;33;45.5;37;120;157;12;15;11;28;33;477.4;8;0;27
Coby White;PG;CHI;19;14;4;10;355;184;67;187;35.8;28;89;31.5;22;29;75.9;5;48;53;34;20;12;0;21;314.6;0;0;-8
Cody Martin;SF;CHA;24;13;5;8;173;42;13;37;35.1;1;17;5.9;15;21;71.4;7;27;34;17;5;12;1;17;142.3;0;0;3
Cody Zeller;C;CHA;27;13;6;7;339;157;60;114;52.6;10;26;38.5;27;38;71.1;45;69;114;16;19;8;4;33;334.8;4;0;-63
Collin Sexton;PG;CLE;20;13;4;9;393;233;89;204;43.6;20;55;36.4;35;45;77.8;12;30;42;28;21;8;1;31;331.4;0;0;-36
Cory Joseph;PG;SAC;28;13;6;7;282;71;28;78;35.9;4;20;20;11;11;100;9;24;33;45;18;5;9;27;202.1;0;0;-21
Courtney Lee;SG;DAL;34;3;2;1;26;8;4;9;44.4;0;3;0;0;0;0;0;1;1;0;0;0;0;2;9.2;0;0;-9
D.J. Augustin;PG;ORL;32;13;6;7;329;128;47;113;41.6;11;36;30.6;23;26;88.5;7;20;27;57;14;6;0;12;249.9;0;0;-3
D.J. Wilson;PF;MIL;23;5;4;1;22;10;4;12;33.3;2;9;22.2;0;0;0;0;4;4;2;2;0;0;2;15.8;0;0;-5
Damian Jones;C;ATL;24;12;3;9;200;73;32;47;68.1;2;3;66.7;7;12;58.3;16;23;39;9;10;8;11;36;180.3;0;0;-71
